id,Rol,Token,Respuesta_esperada,Respuesta_obtenida,revision
47,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNjkzZjUwZWItM2U1My00MGI4LTlkMDktMThjMGVmNjkxNDIxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.MeeYvamNdjEcpdphWdQIm7il0sKxOq78n9O_gwtqyAQ,Acceso permitido,Acceso permitido,True
48,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOWVmZmY5MTMtODgyOC00OWJmLTliNDEtY2RmMWY2ZTJhODVmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.r6nUFdtDmjqHFqDrsWErV_cqe7YA41piG2zZzIPpFc4,Acceso permitido,Acceso permitido,True
49,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYjE5MmJlNjYtYjA3MS00MWZhLTg1MzktNGMxMTFmYWI3MWYxIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.ntN1W5BV5hBgrjGfiiS24674wDctL11R00lc_-Ryyeg,No autorizado,No autorizado,True
50,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZjUzNGY0MzYtMzQwOS00MTI3LTk0ZDEtMTE0MjRiZjk2YWMyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.qIxtlDmILH_tWK98gx8WtNtUv4mRo8olopROh95JnzI,Acceso permitido,Acceso permitido,True
51,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiY2VjNmM2YTctOTE2ZC00MDRmLWEwYzctZTBmYjY2MjJiYTg3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.ESWAHmDZYaERpCrAUdx5qU1b-iwIsfqUDJt5YVd_t_M,Acceso permitido,Acceso permitido,True
52,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNzIzODdmM2MtOGVkYS00MTBlLWFlZjgtNjUzMjg1ZmRkYTVhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.s3jfEfZZA7H2LW2wF_INwk667HvvQ9VZZlNmp7BvKvY,Acceso permitido,Acceso permitido,True
53,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYjFmNTg3MWItNDAxMi00YzgwLWIxNDktNzY1MWFiZWM2YWJkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.o509QZ0PcAMe_Kj4RcdUWVGUbN8P5aQIqX9FETcESKI,No autorizado,No autorizado,True
54,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiM2EyNWQyMTgtMjdiYy00NzMwLWE1YmItZWE2NGYyMWNiMWU4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.jyCOwa7X4Xsk4r_JZC9c9YHydiyLuOuHP2DBkg08tQc,Acceso permitido,Acceso permitido,True
55,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYjJkYWI4MGUtNDJmNS00Mjg5LWFiMmEtNGIyMDYwMTY4MGM5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.XpWEdvrHBjziOAnU6fQXFVM20EHGLIRVmQfTIYt8yGE,Acceso permitido,Acceso permitido,True
56,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNDZmNWY0OWUtMWRhMC00YzI0LTg5Y2QtMzQyZDNhZjA0NTg2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.vsyC1Xt78BKmFLntwQunQxikgTaP7cS-hGgcQfPPL8E,Acceso permitido,Acceso permitido,True
57,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOTNjNTBkOTYtOTk2YS00NDJiLWEwYzItZDNhMzRkMzM1NmYwIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.ISoZR3A5ODh5sIVJOdq-GaP2rSCajvfK07QSrxZahB4,Acceso permitido,Acceso permitido,True
58,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODRiOWIzOTItYjZmNC00M2Y4LThkMmEtMDg1MzZjYWY2MWJiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.drkg45HEQw4qBL_e12LcoQvLSkMki_1Z8YPm00C6SwU,No autorizado,No autorizado,True
59,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZDRlZWVhOGEtNTg3NC00MWRmLTg4YjgtNDY5MWI5ZGFiZjFhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.eu1_x_MhZt1Ivlxd2gs-5jvKLZ8JYB37Zz7Xj0dccJg,No autorizado,No autorizado,True
60,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMDU4MjNhMmMtNDcyNi00MjY1LTg2NzctYWE0NTRiZmFjMGEzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.IhF5L3tPlqQOVkCkuPlpJQ2DGQ4hyS5GF4wmNfBmE_I,Acceso permitido,Acceso permitido,True
61,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMGUwODg4ZjItYzMzNS00YmMwLWFhOWItMWU4MDJmZmFjNWQ3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.Ll3gqHN78YCoIep8C2-MnzqzvxaeMqhIvZd4LVNULKs,Acceso permitido,Acceso permitido,True
62,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMjI2OGVhNmItYjgwNC00YmI1LThmMWItOWYzNjFmY2UyNmYwIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.TWTE8Qh3xEu_Lm-r-y27HTcgjhOFD-FRK3hcMePj51M,No autorizado,No autorizado,True
63,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYjc5OTNlMDQtMGM4NS00MjM0LWE0MGYtMzM3M2Q5M2VjNzgyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.WatWy_ZUCg-xEnQQ-gg5DJZORDfVAZCBiMVENb6maZc,Acceso permitido,Acceso permitido,True
64,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMmVhNWM2NGQtZWM2My00YWZiLTk1OWYtNjBlNmU5MGM3ZjY5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.AaFuqBQpnLJn8h1cdtoOxZck4kvXsylmSqvxUfllKw4,No autorizado,No autorizado,True
65,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZjhiY2JjNTMtNTBhYi00ZGJjLWE0MjctZTZmYTE1MmZjMjFiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.f7EWiFgw4_rQxyXHnVqq2CuhUXKNWUz7p_zTC1DTwvo,No autorizado,No autorizado,True
66,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZWNjOGYwZWMtODBjYy00ODE2LTk4ODUtNTY5OWIzMmIzNzZiIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.-0lN8UOf_RaicKRFMlgI10quFEbhw8PGH-HlOoiLfz4,Acceso permitido,Acceso permitido,True
67,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOWRmNjgyZTQtNmU0ZS00MjQwLThmMjMtNDQxMDc4YjY4NDQ5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.0ZoCr5vG_wQNzgeAiZukYmOhP1Ag8CijCMDX4_1lqB8,Acceso permitido,Acceso permitido,True
68,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZWM1NzAyZGUtMjI5YS00MGI4LTk4YmEtMDgyZmY2YzA0MGQ3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.pyWVgl84X-zcjLa2BGHoKAJDRoLZu8idvvC7ykWdIkQ,Acceso permitido,Acceso permitido,True
69,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODlkNjNhN2UtOGVmNC00OTdiLWE5YjEtMzM3MmMyZmRlZWM1IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.fCVcykL0LOCqsrlBXHhTT7aMZeccol7M_J2UQPGgZig,Acceso permitido,Acceso permitido,True
70,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZmY3NjczMzEtZmUzNy00ZWQ2LWFjZGYtNjM4NzUzMjk3YTlhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.EfGIQoZP25VfM_6nptny4FjalGgjM55frON8eW-lNZw,No autorizado,No autorizado,True
71,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYzI1ZTAwM2QtOWRmNy00NTUwLThkY2MtYzdmZTk4YTliZGZlIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.C_dxnKoEX_CcsirQ5JOvTbgR13o5hrZYYNw0NFFUSBg,No autorizado,No autorizado,True
72,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOGVjMWQzMjktOTg4Yi00MGUwLTlmMWEtYmUwMzkyMWU0ZWIzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.hc7ggQFrz0PHy2Uo2FMg4YGTuiao9f_ZfumvRIdJghQ,Acceso permitido,Acceso permitido,True
73,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNWVlOTQyZjctNDUwOS00NTc3LWJhNmYtNjg2MjdkOWMwMDhmIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.m9ORnO4Ew929EAS1lldF4N7s-kwx_6nVnrjepGPMa_E,Acceso permitido,Acceso permitido,True
74,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiN2ZmNTI4MDktYTk0Ny00ZGRhLWFjNGMtMmZlNjM1YzQzNzNkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.cQ_X0WEwuV--C1BLDuFWl93WgKYMkX3GQvOjgKa1jms,Acceso permitido,Acceso permitido,True
75,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiOTVhZWFjOGUtNzlmYS00ZTkzLTljZjAtZDMwMmY1ODkzMjIyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.x1GQOovMxd4iTKMZwdFSY_-RM3qrBNbeXm61EwHRWCs,Acceso permitido,Acceso permitido,True
76,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODY1YzUxYTYtNWU1MS00MDI2LThmNjAtMDkwYTk5ZTExZGM3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.6JgGL72vrdjxjD9CVxC3m9d6OTtts1Ff9bDuU2fCzBE,No autorizado,No autorizado,True
77,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiYzFlZjZmNWItZGY0ZC00ZWU0LWFjZTQtNWRlNzI3ZTlhZGRjIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.pIv7gmGlLF7aSQLybHiQn7nUgW08IPA5r8yeuNmRAvM,No autorizado,No autorizado,True
78,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODQ3MDk5NTAtMjQ3Ni00ZDJmLThkNWUtNTQ2NTg4ZTdkMzQzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.kNpnA6NkGndvphFCniNKrHkrXQ_qslPIu6ZavNFDz1Q,No autorizado,No autorizado,True
79,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiODZiMTFmZjEtNDA2Yi00NTMxLTg2MTEtMGQ0ODlkODAwMmM3IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.ME-c09KuiVObRy8P3RgIhMZL1Rg2ACu51D8J1YrKZUQ,No autorizado,No autorizado,True
80,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMDJiYjFkOGMtNmQ3OC00OWY5LThlOWYtMTM4MGYwOWE2MmU2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.ON_Z_Glq2dq_Xd7iCZkl-AKqt4LYwHgB7JnY7_owohg,Acceso permitido,Acceso permitido,True
81,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNDZjZWRkMWUtMTQ4OS00ZGFlLWEyNmItZWYwODc1ZmE3MDQ5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.XmdR5DFPe3VnY1DFLQwsWEMALfG0ZhJEGijqng5d7zU,Acceso permitido,Acceso permitido,True
82,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiM2M5MDg5M2EtNjJiYi00NTYxLWI5YjgtZDNiMzU2ZmU2OGM1IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.E2QJ-E1KTE3KHjm3wuqyi2vLXwg88bQNmgw9RDGwjZc,No autorizado,No autorizado,True
83,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNzBhMzZhYzUtOWQwYy00ZDZiLWIzYjYtMjEzMDA3MGQ5ZmI5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.-kjf2TGh1eAwzSCY2oA-d39UB0TyX2SkWhA7qNHQMzY,Acceso permitido,Acceso permitido,True
84,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMWE1NzM2NzUtZTk1Mi00ZmZmLTlmZTctNTEzOTA3MWYxMzlhIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.VO1vXOamf48U0X1pEWbPfNO3bpf31puNYOCubdBoyRE,Acceso permitido,Acceso permitido,True
85,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNjM4ZjQwNzQtNzA0MS00MDg5LTkzMGEtZTQ4ZjU4OGQzOWM4IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.AOJT_fyKYJwMm4MllWG0XCq77eoDLMgoyNYtk_bgQS4,Acceso permitido,Acceso permitido,True
86,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiM2U3NmQyZGEtMDYzOS00ZmY4LTljMWQtMDEzMjY2ZTllNTQ5IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.lunKGgl2V3tp-f6zcEG2vtPqibCY_JwXu4vM3l89f8Y,No autorizado,No autorizado,True
87,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZTYwZjVmNjYtMWU1Ni00NzlhLWFmMWItMzhlMjVkMWE3NjgyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.kBMARtabmMiLNZ-7TM1qls7jSNqcc2cVqmd-2rHMvEk,No autorizado,No autorizado,True
88,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMjMxZDE3MDAtNmU0MC00ZjhhLTk5N2MtZGQwZmZjZDlkOWZkIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.kRaMBJse5hahUA3Dnj5n3VzPj-W9MLIb_i2ozDgOwDk,Acceso permitido,Acceso permitido,True
89,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNjk2M2Q2ZGQtNWVjNC00ZDc3LWIwZDktMmY0YmZiODFlOWY2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.wP4t50hhplDqFjEHSAnSV5cD2bktELckkL1lGsOg5Uk,Acceso permitido,Acceso permitido,True
90,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiZjJlN2EyYjctYWU4ZC00MWU2LWJhNjUtY2ZmMjI0NjI4ZDUzIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.sIZFWD-unGUnwz2otPySS9fzHkBtCHKb89IK4aIMsvA,Acceso permitido,Acceso permitido,True
91,user,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiMDNlYTdhMjctOTY2MS00MWI2LWI3MmItNzMwOGFmNTMwMmIyIiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6InVzZXIifQ.H1NwN-GXVFpHqZmriGZwZHOr58sn1-7Av0U595u_zQ8,No autorizado,No autorizado,True
92,admin,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVzaCI6ZmFsc2UsImlhdCI6MTY5NjEzMDYxMiwianRpIjoiNWQ0M2JjMDktODk5ZS00YjcyLWExNjgtYmQ3Mzg1OTk3MWE2IiwidHlwZSI6ImFjY2VzcyIsInN1YiI6ImRpZWdvIiwibmJmIjoxNjk2MTMwNjEyLCJleHAiOjE2OTYxMzQyMTIsInJvbCI6ImFkbWluIn0.D3fhGZYO8Hf1I2TZuynY48blvDE6rUvYbJSEFBCV2JI,Acceso permitido,Acceso permitido,True
